"","Taxa1","Site1","Site2","Spearman_r","p_value","adjust_p","Annotation"
"258","Corynebacterium_kroppenstedtii","Sc","Ac",-0.13283488032061,0.0607773133585513,0.771531107849304,NA
"259","Cutibacterium_granulosum","Ac","Ub",0.13248611953062,0.0614636913510069,0.776491402852202,NA
"260","Finegoldia_magna","Ps","Ll",-0.132348924807372,0.0617354369153642,0.778907292349256,NA
"261","Malassezia_globosa","Ps","Ub",0.13174238909632,0.0629486710773646,0.789186130513307,NA
"262","Cutibacterium_granulosum","Fo","Ub",0.131408201385333,0.063625450585037,0.79472662422593,NA
"263","Cutibacterium_avidum","Ps","Vf",0.131366948542704,0.0637094057762451,0.795528299398086,NA
"264","Cutibacterium_granulosum","Sc","Ac",-0.130711818151587,0.065054901216411,0.806129917869158,NA
"265","Brevibacterium_casei","Sc","Ll",-0.130461554188878,0.0655749908429789,0.810541609109905,NA
"266","Micrococcus_luteus","Ps","Ll",-0.129071019217009,0.068527048841554,0.834391111240221,NA
"267","Cutibacterium_avidum","Ch","Sc",-0.128803255035251,0.069107766003743,0.839181433023539,NA
"268","Corynebacterium_tuberculostearicum","Ps","Fo",0.128609656161962,0.0695301300617786,0.842630867613847,NA
"269","Cutibacterium_avidum","Ax","Ch",-0.127545263566404,0.0718899793984141,0.860718274676712,NA
"270","Cutibacterium_acnes","Ps","Fo",0.126885172129303,0.0733858867277266,0.872598793098008,NA
"271","Moraxella_osloensis","Ps","Vf",-0.126713491911673,0.0737790632029982,0.875515971412477,NA
"272","Dermabacter_sp_HFH0086","Ax","Fo",-0.126408103102147,0.0744826780680275,0.879804327680948,NA
"273","Finegoldia_magna","Fo","Vf",0.125795189645163,0.0759112456252219,0.890577591237433,NA
"274","Staphylococcus_epidermidis","Sc","Vf",0.125678006575639,0.0761868838865197,0.893052201477194,NA
"275","Finegoldia_magna","Ps","Ch",0.12558571848446,0.0764045339252807,0.894604929066573,NA
"276","Cutibacterium_avidum","Ps","Ac",0.125498759466512,0.0766100761960767,0.896117417616836,NA
"277","Corynebacterium_kroppenstedtii","Ps","Ch",0.125141471691531,0.0774592861744368,0.902215996025753,NA
"278","Cutibacterium_avidum","Ch","Ac",0.124763332699497,0.0783663286486554,0.908954737981589,NA
"279","Corynebacterium_pseudogenitalium","Ax","Ch",-0.124729266537528,0.0784484627145936,0.909487455554386,NA
"280","Brevibacterium_casei","Vf","Ub",0.123684003426665,0.0810025859617222,0.928136687849518,NA
"281","Cutibacterium_granulosum","Ps","Ub",-0.123664859375469,0.0810499822582703,0.928527232559836,NA
"282","Corynebacterium_tuberculostearicum","Ps","Ch",0.123477396292216,0.0815152795245955,0.931856127104763,NA
"283","Brevibacterium_casei","Fo","Ll",-0.120888141086702,0.0881646470490977,0.974711930854073,NA
"284","Malassezia_globosa","Fo","Sc",0.120684883506459,0.0887044815519458,0.978362895751103,NA
"285","Corynebacterium_kroppenstedtii","Ps","Vf",0.120666717738931,0.0887528566612528,0.978777190690129,NA
"286","Corynebacterium_tuberculostearicum","Sc","Ll",-0.120511198055707,0.0891678667337795,0.981833160524494,NA
"287","Staphylococcus_hominis","Ch","Ac",0.120364933067456,0.0895595944940755,0.984649351103894,NA
"288","Cutibacterium_avidum","Ax","Ub",-0.120096423554198,0.0902822968597518,0.989515043716959,NA
"289","Brevibacterium_casei","Ax","Ch",0.119116853764415,0.0929584065523867,1,NA
"290","Micrococcus_luteus","Ax","Sc",-0.118306847164582,0.0952186832083671,1,NA
"291","Corynebacterium_pseudogenitalium","Ch","Vf",-0.117827145429308,0.0965777240034569,1,NA
"292","Cutibacterium_granulosum","Vf","Ub",0.11719940222555,0.0983793897657135,1,NA
"293","Finegoldia_magna","Sc","Ac",-0.116260275423375,0.101124365390874,1,NA
"294","Staphylococcus_hominis","Ch","Ub",0.116248736194551,0.10115846614379,1,NA
"295","Malassezia_restricta","Ax","Ll",-0.116117062637312,0.101548232128664,1,NA
"296","Staphylococcus_epidermidis","Ps","Vf",0.115397930084114,0.103697912550937,1,NA
"297","Staphylococcus_caprae_capitis","Sc","Ub",0.115166070112251,0.104398604153252,1,NA
"298","Malassezia_globosa","Ps","Fo",0.115018867638056,0.104845389978639,1,NA
"299","Corynebacterium_tuberculostearicum","Fo","Sc",0.11417314214622,0.107441576002543,1,NA
"300","Finegoldia_magna","Fo","Ch",0.114119480126739,0.107607995940619,1,NA
"301","Cutibacterium_acnes","Ps","Vf",0.113473336833421,0.109627797574321,1,NA
"302","Micrococcus_luteus","Ps","Ub",-0.11325491224642,0.110317264362127,1,NA
"303","Cutibacterium_avidum","Ax","Ll",-0.112927963142079,0.111355640325767,1,NA
"304","Streptococcus_mitis_oralis_pneumoniae","Ub","Ll",0.112842199689441,0.111629284709048,1,NA
"305","Cutibacterium_avidum","Sc","Ac",0.112605690310936,0.112386640765003,1,NA
"306","Cutibacterium_granulosum","Ax","Fo",0.112378301129108,0.113118577236295,1,NA
"307","Cutibacterium_granulosum","Ac","Ll",0.112250238787915,0.113532431150792,1,NA
"308","Cutibacterium_acnes","Ax","Sc",0.112136920341537,0.113899623958836,1,NA
"309","Staphylococcus_caprae_capitis","Ax","Fo",0.111959295878459,0.114477058121535,1,NA
"310","Streptococcus_mitis_oralis_pneumoniae","Sc","Vf",-0.111867898969164,0.114775067218814,1,NA
"311","Corynebacterium_kroppenstedtii","Ax","Ch",0.111647057818204,0.115497642739203,1,NA
"312","Cutibacterium_avidum","Ch","Ub",0.111284608059809,0.11669123840653,1,NA
"313","Cutibacterium_acnes","Sc","Ub",0.110747934820397,0.118476206255278,1,NA
"314","Finegoldia_magna","Ax","Ll",0.110142641975589,0.12051482037068,1,NA
"315","Staphylococcus_hominis","Sc","Ll",-0.109833136147224,0.1215677054381,1,NA
"316","Streptococcus_mitis_oralis_pneumoniae","Ps","Ub",0.108551000224314,0.12600550509219,1,NA
"317","Corynebacterium_tuberculostearicum","Vf","Ub",0.108506716560482,0.126160990103197,1,NA
"318","Streptococcus_mitis_oralis_pneumoniae","Ax","Ac",-0.108244029266489,0.127086365928129,1,NA
"319","Staphylococcus_epidermidis","Ch","Sc",0.107779651535019,0.128735055144195,1,NA
"320","Cutibacterium_granulosum","Ps","Vf",-0.107640064697657,0.12923384337359,1,NA
"321","Brevibacterium_casei","Ax","Ub",0.107031446636218,0.131426053516184,1,NA
"322","Staphylococcus_caprae_capitis","Ps","Ub",0.10590692760169,0.135551630813423,1,NA
"323","Cutibacterium_granulosum","Sc","Ub",-0.105871251739544,0.135684122808072,1,NA
"324","Cutibacterium_avidum","Ax","Vf",-0.105398945382,0.137447528988234,1,NA
"325","Micrococcus_luteus","Sc","Ll",-0.10537276712836,0.1375457788603,1,NA
"326","Finegoldia_magna","Ps","Ub",-0.105028395153943,0.138843253288998,1,NA
"327","Corynebacterium_pseudogenitalium","Ch","Ac",-0.104642499682994,0.140308265526221,1,NA
"328","Brevibacterium_casei","Ps","Vf",-0.104480937234745,0.140925113340779,1,NA
"329","Finegoldia_magna","Ch","Sc",0.103398101851571,0.14511292069157,1,NA
"330","Micrococcus_luteus","Ax","Ac",0.102173731024272,0.149961313227047,1,NA
"331","Cutibacterium_granulosum","Ax","Vf",0.102114429409601,0.150199217951845,1,NA
"332","Staphylococcus_caprae_capitis","Ps","Ch",-0.101840471517357,0.151301984235428,1,NA
"333","Corynebacterium_pseudogenitalium","Ax","Ac",0.101281345298586,0.153571622040449,1,NA
"334","Streptococcus_mitis_oralis_pneumoniae","Ch","Vf",0.100533509993568,0.156647315250321,1,NA
"335","Cutibacterium_acnes","Fo","Sc",0.100144153820189,0.158266896003197,1,NA
"336","Brevibacterium_casei","Ax","Vf",-0.0994752310313406,0.161078703607389,1,NA
"337","Malassezia_globosa","Vf","Ll",0.0990793884195066,0.162760166711934,1,NA
"338","Finegoldia_magna","Fo","Ll",-0.0989870717435016,0.163154192835302,1,NA
